REQUEST_TIME,DEVICE_IP,ID,USER_ID,ID_TYPE,OPERATING_SYSTEM
34:49.8,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
35:05.6,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
36:22.4,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
38:36.6,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
43:36.1,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
46:54.0,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
56:31.4,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
38:01.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
43:40.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
43:40.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
43:43.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
55:40.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
56:29.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
10:07.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:20.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
15:10.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
00:02.5,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
00:15.0,2001:f0cd:4511:::,LET6OEYL42RUMUPW8ZZ5US,7,WEB_ID,android
08:13.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
14:39.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
39:13.9,2001:4c17:d67b:::,8SROO1XI9MW96U6TUJI3RQ,6,WEB_ID,android
04:48.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
17:15.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
21:25.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
04:51.6,2001:1a9d:6b39:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:48.7,2001:1a9d:6b39:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
07:10.8,2001:1a9d:6b39:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
54:25.1,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
54:37.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
58:08.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
58:20.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
58:55.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
00:28.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
00:52.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
01:06.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
01:47.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
02:14.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
02:57.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
03:10.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
03:20.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
03:44.1,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
03:55.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
04:19.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
04:19.5,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:03.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:05.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:53.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
05:54.5,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
06:02.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
06:17.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
07:11.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
07:11.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
07:37.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
08:01.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
08:37.2,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
09:00.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
09:21.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
09:44.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
10:32.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:15.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:26.3,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:35.5,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
11:57.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
12:28.8,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
13:01.6,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
13:17.5,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
14:09.0,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
15:52.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
16:05.9,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
16:18.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
16:32.4,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
19:04.7,2001:ab24:a49c:::,Y_EV2J24PHL0DD3KEI3ZJ5,7,WEB_ID,android
32:46.0,37.139.88.154,_3DGSL4HCXQ3PO2I_SOJ303B4551NP5DE5TP,2,IDFV,ios
